업태구분명,소재지전체주소
호프/통닭,서울특별시 광진구 화양동 47-76 (2층) 
호프/통닭,서울특별시 광진구 구의동 252-65번지 
호프/통닭,서울특별시 광진구 구의동 257-97 
호프/통닭,서울특별시 광진구 화양동 9-91 
호프/통닭,서울특별시 광진구 중곡동 341-26번지 
호프/통닭,서울특별시 광진구 중곡동 163-1번지 
호프/통닭,서울특별시 광진구 자양동 606-40번지 
호프/통닭,서울특별시 광진구 중곡동 55-9번지 
호프/통닭,서울특별시 광진구 군자동 476-7번지 
호프/통닭,서울특별시 광진구 구의동 257-24번지 
호프/통닭,서울특별시 광진구 화양동 114-5번지 
호프/통닭,서울특별시 광진구 화양동 47-42 
호프/통닭,서울특별시 광진구 중곡동 79-16번지 
호프/통닭,서울특별시 광진구 구의동 212-2 지상2층 
호프/통닭,서울특별시 광진구 화양동 45-82 
호프/통닭,서울특별시 광진구 화양동 5-56 
호프/통닭,서울특별시 광진구 구의동 51-8 
호프/통닭,서울특별시 광진구 구의동 251-49번지 
호프/통닭,서울특별시 광진구 광장동 566 청구상가 103호 
호프/통닭,서울특별시 광진구 자양동 24-19번지 
호프/통닭,서울특별시 광진구 화양동 9-1번지 
호프/통닭,서울특별시 광진구 중곡동 192-56 
호프/통닭,서울특별시 광진구 화양동 47-68번지 
호프/통닭,서울특별시 광진구 구의동 229-1 
호프/통닭,서울특별시 광진구 군자동 474-1번지 
호프/통닭,서울특별시 광진구 자양동 553-139 
호프/통닭,서울특별시 광진구 군자동 150-11 
호프/통닭,서울특별시 광진구 자양동 553-13번지 
호프/통닭,서울특별시 광진구 자양동 583-10 (1층) 
호프/통닭,서울특별시 광진구 중곡동 238-3번지 
호프/통닭,서울특별시 광진구 자양동 553-155번지 (2층) 
호프/통닭,서울특별시 광진구 자양동 616-14번지 
호프/통닭,서울특별시 광진구 중곡동 239-75 
호프/통닭,서울특별시 광진구 중곡동 564-11 
호프/통닭,서울특별시 광진구 구의동 252-36번지 
호프/통닭,서울특별시 광진구 자양동 624-30 1층 
호프/통닭,서울특별시 광진구 구의동 246-30 
호프/통닭,서울특별시 광진구 중곡동 239-85 
호프/통닭,"서울특별시 광진구 화양동 8-88 (2,3층) "
호프/통닭,서울특별시 광진구 화양동 20-25 
호프/통닭,서울특별시 광진구 화양동 8-37번지 
호프/통닭,서울특별시 광진구 중곡동 221-8번지 
호프/통닭,서울특별시 광진구 구의동 246-96 
호프/통닭,서울특별시 광진구 구의동 218-15 외 2필지 
호프/통닭,서울특별시 광진구 중곡동 292 
호프/통닭,서울특별시 광진구 화양동 45-38 
호프/통닭,서울특별시 광진구 구의동 253-3번지 (1층) 
